"filename", "language", "Markdown", "CMake", "Batch", "JSON with Comments", "Shell Script", "C++", "YAML", "GLSL", "C", "comment", "blank", "total"
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\.githooks\commit-msg.sh", "Shell Script", 0, 0, 0, 0, 47, 0, 0, 0, 0, 3, 12, 62
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\.githooks\pre-commit.sh", "Shell Script", 0, 0, 0, 0, 30, 0, 0, 0, 0, 2, 8, 40
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\.githooks\pre-merge-commit.sh", "Shell Script", 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 7, 31
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\.githooks\pre-rebase.sh", "Shell Script", 0, 0, 0, 0, 27, 0, 0, 0, 0, 2, 8, 37
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\.github\workflows\cmake-multi-platform.yml", "YAML", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 9, 53
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\CLAUDE.md", "Markdown", 274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 354
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\CMakeLists.txt", "CMake", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 12, 92
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\GITFLOW.md", "Markdown", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 96
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\README.md", "Markdown", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 58
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\assets\shaders\basic.frag", "GLSL", 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 2, 10
